Study,DoseInIU,SerumLevelInNmolPerL,nAdult,AdverseEvent,Used,Source,Notes
Stern et al 1981,100000,NA,24,no,no,Study,4 days
Trivedi et al 2003,100000,NA,2686,no,no,Study,bolus 1/4mo
Barger-Lux et al 1998,50000,643,38,no,yes,Study,nAdult is total; 3 doses were used
Kimball et al 2006,40000,385.5,12,no,yes,Study,MS patients
Hasling et al 1987,18000,NA,43,no,no,Study,high dose sodium fluoride
Rickers et al 1982,12840,NA,31,no,no,Study,high dose sodium fluoride
Heaney et al 2003,10000,220,67,no,yes,Study,nAdult is total; 4 doses were used
Berlin et al 1986,7600,123,12,no,yes,Study,
Berlin et al 1987,7600,123,12,no,no,Study,same cohort as Berlin et al 1986
Vieth et al 2001,4000,96,61,no,yes,Study,
Vieth et al 2004,4000,126,130,no,yes,Study,nAdult is total; 2 doses were used
Hollis et al 2004,4000,111.3,18,no,yes,Study,lactating women
Tjellesen et al 1986,4000,113,19,no,yes,Study,
Narang et al 1984,3800,NA,30,yes,no,Study,"aberrant, no serum level given"
Nordin et al 1985,2144,59,109,no,yes,Study,elderly women
Stefikova et al 2004,2144,85,52,no,yes,Study,women with osteoporosis
Schleithoff et al 2006,2000,103,61,no,yes,Study,congestive heart failure patients
Aloia et al 2005,2000,86.9,208,no,yes,Study,black postmenopausal women
Himmelstein et al 1990,2000,80,30,no,yes,Study,elderly nursing home residents
Johnson et al 1980,2000,NA,190,no,no,Study,free living elderly
Honkanen et al 1990,1800,81,139,no,yes,Study,
Barrueto et al 2005,600000,1123,1,yes,yes,Toxicity,2yr old boy
Vieth et al 2002,1680000,1555,2,yes,yes,Toxicity,second value of 3700 nmol/L not shown
Koutkia et al 2001,156000,1218,1,yes,yes,Toxicity,"range of doses shown, only lowest used"
Selby et al 1995,100000,533,6,yes,yes,Toxicity,"range of doses shown, only lowest used"
Pettifor et al 1995,2000000,847,11,yes,yes,Toxicity,"range of doses shown, only lowest used"
Blank et al 1995,35000,560,126,yes,yes,Toxicity,"range of doses shown, only lowest used"
Jacobus et al 1992,29000,731,8,yes,yes,Toxicity,"range of doses shown, only lowest used"
Jansen etl al 1997,400,62,1,yes,no,Toxicity,aberrant result; outlier
Mawer et al 1985,50000,583,8,yes,yes,Toxicity,"range of doses shown, only lowest used"
